user id,first name,last name,email,password,type
renee,Renee,Watson,renee@mailinator.com,sakai,registered
tawest,Tanya,West,tawest@mailinator.com,sakai,registered
toeast,Tom,East,toeast@mailinator.com,sakai,registered
tonorth,Tom,North,tonorth@mailinator.com,sakai,registered
tosouth,Tom,South,tosouth@mailinator.com,sakai,registered
tawest1,Tanya,West,tawest1@mailinator.com,sakai,registered
toeast1,Tom,East,toeast1@mailinator.com,sakai,registered
tonorth1,Tom,North,tonorth1@mailinator.com,sakai,registered
tosouth1,Tom,South,tosouth1@mailinator.com,sakai,registered
renee2,Renee,Watson,renee2@mailinator.com,sakai,registered
renee3,Renee,Watson,renee3@mailinator.com,sakai,registered
renee4,Renee,Watson,renee4@mailinator.com,sakai,registered
renee5,Renee,Watson,renee5@mailinator.com,sakai,registered
renee6,Renee,Watson,renee6@mailinator.com,sakai,registered
renee7,Renee,Watson,renee7@mailinator.com,sakai,registered
renee8,Renee,Watson,renee8@mailinator.com,sakai,registered
renee9,Renee,Watson,renee9@mailinator.com,sakai,registered
renee10,Renee,Watson,renee10@mailinator.com,sakai,registered
renee11,Renee,Watson,renee11@mailinator.com,sakai,registered
renee12,Renee,Watson,renee12@mailinator.com,sakai,registered
renee13,Renee,Watson,renee13@mailinator.com,sakai,registered
renee14,Renee,Watson,renee14@mailinator.com,sakai,registered
renee15,Renee,Watson,renee15@mailinator.com,sakai,registered
renee16,Renee,Watson,renee16@mailinator.com,sakai,registered
